,Unnamed: 0,url,Product_Code,Name,In_Stock,Price,Nib_Size,Condition,Brand,Type,Color,Demonstrator,Body_Material,Cap_Type,Compatible_inks_&_refills,Filling_Mechanism,Grip_Material,Nib_Color,Nib_Material,Postable,Retractable,Trim,Diameter_Body,Diameter_Cap_(without_clip),Diameter_Cap_(with_clip),Diameter_Grip,Length_Body,Length_Cap,Length_Nib,Length_Overall_(Closed),Length_Overall_(Posted),Weight_Body,Weight_Cap,Weight_Overall,Max_Ink_Capacity_Piston_Vac,Max_Ink_Capacity_Cartridge,Max_Ink_Capacity_Converter,Max_Ink_Capacity_Eyedropper,Cap_Rotations,Description
10,10,https://www.gouletpens.com/collections/all-fountain-pens/products/lamy-2000-fountain-pen-makrolon,LMY-L01F,LAMY 2000 Fountain Pen - Makrolon,True,$175.20,"Extra-Fine, Fine, Medium, Broad, Double Broad, Oblique Broad, Oblique Double Broad",New,LAMY,Fountain Pens,Black,No,Makrolon,Snap-cap,Bottled inks,Piston,Stainless steel,Silver,14kt Gold,Yes,No,Silver,13mm (0.5in),14mm (0.6in),16mm (0.6in),7.9mm (0.3in),125mm (4.9in),65mm (2.6in),7mm (0.3in),140mm (5.5in),154mm (6.1in),15g (0.5oz),10g (0.4oz),25g (0.9oz),1.35ml,,,,,"
                                    This LAMY 2000, LAMY's flagship fountain pen, is made of a combination of Makrolon (black polycarbonate) and brushed stainless steel. This pen features a hooded rhodium-plated 14k gold nib and uses a piston-filling mechanism to fill from bottled ink. Note: To ensure quality performance, LAMY tests their pens as a final step in manufacturing. If you happen to see any residual blue ink, rest assured that this is normal.
                                    
                                "
11,11,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-metropolitan-fountain-pen-retro-pop-gray,PN91435,Pilot Metropolitan Fountain Pen - Retro Pop Gray,True,$23.99,"Fine, Medium, 1.0mm Stub",New,Pilot,Fountain Pens,Silver/Grey,No,Lacquered metal,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),13mm (0.5in),15.8mm (0.6in),8.4mm (0.3in),126mm (5in),57mm (2.2in),18mm (0.7in),138mm (5.4in),153mm (6in),17g (0.6oz),9g (0.3oz),26g (0.9oz),1.10ml,1.10ml,1.30ml,,,"
A fantastic value from Pilot, the Metropolitan is a favorite first fountain pen. Part of the Retro Pop collection, this grey metal bodied pen has a patterned accent band, silver trim, and a steel nib. It comes with a squeeze converter and a black Pilot ink cartridge, or you can upgrade to a CON-40 twist piston converter to use bottled ink if you prefer. It comes packaged in a gift box.
Click here to shop all compatible Pilot ink cartridges.
"
12,12,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-metropolitan-fountain-pen-retro-pop-purple,PN91434,Pilot Metropolitan Fountain Pen - Retro Pop Purple,True,$23.99,"Fine, Medium, 1.0mm Stub",New,Pilot,Fountain Pens,Purple,No,Lacquered metal,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),13mm (0.5in),15.8mm (0.6in),8.4mm (0.3in),126mm (5in),57mm (2.2in),18mm (0.7in),138mm (5.4in),153mm (6in),17g (0.6oz),9g (0.3oz),26g (0.9oz),1.10ml,1.10ml,1.30ml,,,"
A fantastic value from Pilot, the Metropolitan is a favorite first fountain pen. Part of the Retro Pop collection, this purple metal bodied pen has a patterned accent band, silver trim, and a steel nib. It comes with a squeeze converter and a black Pilot ink cartridge, or you can upgrade to a CON-40 twist piston converter to use bottled ink if you prefer. It comes packaged in a gift box.
Click here to shop all compatible Pilot ink cartridges.
"
13,13,https://www.gouletpens.com/collections/all-fountain-pens/products/twsbi-diamond-580al-fountain-pen-silver,TW-M7444240,TWSBI Diamond 580AL Fountain Pen - Silver,True,$60.00,"Extra-Fine, Fine, Medium, Broad",New,TWSBI,Fountain Pens,Clear,Yes,Resin,Screw-cap,Bottled inks,Piston,Aluminum,Silver,Steel,No,No,Silver,13.3mm (0.5in),14.4mm (0.6in),18.6mm (0.7in),10mm (0.4in),130mm (5.1in),60mm (2.4in),19mm (0.7in),142mm (5.6in),142mm (5.6in),18g (0.6oz),14g (0.5oz),32g (1.1oz),1.98ml,,,,1.25,"
                                    The TWSBI Diamond 580AL comes with a benchmark piston ink-filling mechanism and has all detachable parts. The clear demonstrator barrel allows you to see your ink color and remaining ink level. It has a silver aluminum grip section and screw-cap. It comes with a stainless steel nib and is presented in a modern clear display. The idea behind the TWSBI Diamond 580 was to go back to basics and capture the simplicity and elegance of traditional writing instruments. In recent years, the development and modernization of writing instruments has resulted in traditional writing instruments, such as fountain pens, falling into obscurity. It was TWSBI's goal to bring the past back to life by creating a traditional fountain pen that even modern day society can appreciate. The TWSBI Diamond 580 is a classic fountain pen with a piston ink-filling system. By fusing the traditional mechanisms of the fountain pen with a modern industrial design, TWSBI has created an eye-catching fountain pen that is simultaneously appreciative of the past and relevant in the present. TWSBI's belief is that it is important to allow the user to disassemble and reassemble the pen and completely experience the traditional aspects of owning and using a fountain pen. These pens also come packaged with a wrench and silicone grease. Neither of these accessories are intended to be used immediately, as they are for long-term care and maintenance. Additionally, please use extra care if you choose to disassemble the nib and feed, as the feed is very fragile.
                                    
                                "
14,14,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-metropolitan-fountain-pen-silver-plain,PN91113,Pilot Metropolitan Fountain Pen - Silver Plain,True,$23.99,"Fine, Medium",New,Pilot,Fountain Pens,Silver/Grey,No,Lacquered metal,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),13mm (0.5in),15.8mm (0.6in),8.4mm (0.3in),126mm (5in),57mm (2.2in),18mm (0.7in),138mm (5.4in),153mm (6in),17g (0.6oz),9g (0.3oz),26g (0.9oz),1.10ml,1.10ml,1.30ml,,,"
A fantastic value from Pilot, the Metropolitan is a favorite first fountain pen. This silver-colored metal bodied pen has a glossy silver accent band, silver trim, and a steel nib. It comes with a squeeze converter and a black Pilot ink cartridge, or you can upgrade to a CON-40 twist piston converter to use bottled ink if you prefer. It comes packaged in a gift box.
Click here to shop all compatible Pilot ink cartridges.
"
15,15,https://www.gouletpens.com/collections/all-fountain-pens/products/noodlers-nib-creaper-flex-fountain-pen-clear,N17000,Noodler's Nib Creaper Flex Fountain Pen - Clear,True,$16.10,Flex,New,Noodler's,Fountain Pens,Clear,Yes,Resin,Screw-cap,Bottled inks,Piston,Resin,Silver,Steel,Yes,No,Silver,10.7mm (0.4in),12.4mm (0.5in),15.9mm (0.6in),7.8mm (0.3in),113mm (4.4in),57mm (2.2in),13.3mm (0.5in),128mm (5in),148mm (5.8in),8g (0.3oz),2g (0.1oz),10g (0.4oz),1.00ml,,,,1,"
                                    This clear Noodler's Nib Creaper flex fountain pen features a small, slender body with a steel flexible #2 nib and a twist piston mechanism. A small ink window shows how much ink is left in your pen. These pens are made from a celluloid derivative. The vegetal resin body of this pen may show particles or striations within the material. This is most noticeable in demonstrators and bright colors.

The Nib Creaper (also known as the ""Standard Flex Pen"")  was the first fountain pen produced by Noodler's, introduced in 2010. The Noodler's flex pens were designed for the hands-on tinkerer - they are made to be taken apart and adjusted. The nib and feed pull right out and can be adjusted and heat set for optimal performance. Don't be afraid to get a little ink on your fingers while you learn how to use this pen.

As a simple rule of thumb for writing with a flex pen, just apply slight pressure on your downstrokes, which will spread the tines and increase the line width, achieving that optimal line variation. Make sure to go slowly so that the ink can keep up with your writing. As with any flex pen, it just takes practice!

Due to the residual machining oils used when cutting the feeds for these pens, we highly encourage you to give the pen a good flush before use. We recommend any of the following options: distilled water, water with a touch of dish soap, a pre-packaged pen flush, or a solution of 10% clear ammonia to water. This should resolve most ink flow issues!
                                    
                                "
16,16,https://www.gouletpens.com/collections/all-fountain-pens/products/platinum-preppy-fountain-pen-red,Plat-PSQ-400-11-1,Platinum Preppy Fountain Pen - Red,True,$5.00,"Extra-Fine, Fine, Medium",New,Platinum,Fountain Pens,Red,Yes,Resin,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter, Eyedropper",Resin,Silver,Steel,Yes,No,Red,12mm (0.5in),13mm (0.5in),17mm (0.7in),10mm (0.4in),122mm (4.8in),59.7mm (2.3in),14.5mm (0.6in),138mm (5.4in),154mm (6.1in),9g (0.3oz),4g (0.1oz),13g (0.5oz),1.43ml,1.43ml,0.98ml,4.33ml,,"
The Platinum Preppy fountain pen is one of the best values for the money! This is a fantastic starter fountain pen, or great for lending to a friend. This pen features a translucent red plastic body, a clear cap, red trim, and a stainless steel nib. As a Japanese-made pen, the nib runs on the narrow side. The Preppy accepts proprietary Platinum ink cartridges (one red cartridge is included) or a Platinum converter (sold separately) to fill with bottled ink.By converting this pen to an eyedropper, you can fill the entire barrel with ink for maximum ink capacity! All you need to do is add an o-ring and a small amount of silicone grease to the threads (available separately).
Click here to shop all compatible Platinum ink cartridges.
"
17,17,https://www.gouletpens.com/collections/all-fountain-pens/products/lamy-vista-fountain-pen,LMY-L12EF,LAMY Vista Fountain Pen,True,$29.60,"Extra-Fine, Fine, Medium, Broad",New,LAMY,Fountain Pens,Clear,Yes,Resin,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,12.3mm (0.5in),13.5mm (0.5in),17mm (0.7in),8.9mm (0.3in),128.7mm (5.1in),65.4mm (2.6in),15.9mm (0.6in),138.9mm (5.5in),163.9mm (6.5in),10g (0.4oz),7g (0.2oz),17g (0.6oz),1.56ml,1.56ml,1.08ml,,,"
This clear demonstrator LAMY Vista fountain pen, essentially the clear version of the LAMY Safari, has an interchangeable silver steel nib. It features a triangular grip for proper hand position when writing. It comes with a blue LAMY ink cartridge to get you started writing right away. If you'd like to use bottled fountain pen ink, you can also purchase a LAMY Z28 converter.
Note: To ensure quality performance, LAMY tests their pens as a final step in manufacturing. If you happen to see any residual blue ink, rest assured that this is normal.
Click here to shop all compatible LAMY ink cartridges.
"
18,18,https://www.gouletpens.com/collections/all-fountain-pens/products/twsbi-vac700r-fountain-pen-clear,TW-M7445950,TWSBI Vac700R Fountain Pen - Clear,True,$65.00,"Extra-Fine, Fine, Medium, Broad, 1.1mm Stub",New,TWSBI,Fountain Pens,Clear,Yes,Resin,Screw-cap,Bottled inks,Vacuum,Resin,Silver,Steel,No,No,Silver,15mm (0.6in),16mm (0.6in),18mm (0.7in),10.1mm (0.4in),134mm (5.3in),65mm (2.6in),24mm (0.9in),147mm (5.8in),147mm (5.8in),19g (0.7oz),13g (0.5oz),32g (1.1oz),2.37ml,,,,1.5,"
                                    The TWSBI Vac700R comes with a vacuum filler mechanism. This fountain pen features a clear demonstrator body with a stainless steel nib. The Vac700 has been updated to now be called the Vac700R. TWSBI made small updates to the internal of the pen valving. The old Vac700 used to have 2 small valves. Now, it has only 1 large valve. The bottom of the grip/feeder section has also been enlarged and tapered more drastically. They found by doing these two adjustments, the flow of the pen when the end cap is open increased a small percentage. This is the same design they incorporated in the Vac Mini series. Due to the bottom of the grip/feeder section being enlarged and tapered differently, the individual nib sets from the original Vac700 pen will NOT work on the Vac700R. Only the Vac700R nib sets will go along with the Vac700R fountain pen. TWSBI's belief is that it is important to allow the user to disassemble and reassemble the pen and completely experience the traditional aspects of owning and using a fountain pen. These pens also come packaged with a wrench and silicone grease. Neither of these accessories are intended to be used immediately, as they are for long-term care and maintenance. Additionally, please use extra care if you choose to disassemble the nib and feed, as the feed is very fragile.If you're taking apart this pen, note that the mechanism on the Vac700R removes out of the pen in a counter-clockwise direction. This is the opposite direction from other TWSBI pens like the 580.
                                    
                                "
19,19,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-metropolitan-fountain-pen-retro-pop-green,PN91431,Pilot Metropolitan Fountain Pen - Retro Pop Green,True,$23.99,"Fine, Medium, 1.0mm Stub",New,Pilot,Fountain Pens,Green,No,Lacquered metal,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),13mm (0.5in),15.8mm (0.6in),8.4mm (0.3in),126mm (5in),57mm (2.2in),18mm (0.7in),138mm (5.4in),153mm (6in),17g (0.6oz),9g (0.3oz),26g (0.9oz),1.10ml,1.10ml,1.30ml,,,"
A fantastic value from Pilot, the Metropolitan is a favorite first fountain pen. Part of the Retro Pop collection, this light green metal bodied pen has a patterned accent band, silver trim, and a steel nib. It comes with a squeeze converter and a black Pilot ink cartridge, or you can upgrade to a CON-40 twist piston converter to use bottled ink if you prefer. It comes packaged in a gift box.
Click here to shop all compatible Pilot ink cartridges.
"
20,20,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-metropolitan-fountain-pen-violet-leopard,PN91138,Pilot Metropolitan Fountain Pen - Violet Leopard,True,$23.99,"Fine, Medium",New,Pilot,Fountain Pens,Purple,No,Lacquered metal,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),13mm (0.5in),15.8mm (0.6in),8.4mm (0.3in),126mm (5in),57mm (2.2in),18mm (0.7in),138mm (5.4in),153mm (6in),17g (0.6oz),9g (0.3oz),26g (0.9oz),1.10ml,1.10ml,1.30ml,,,"
A fantastic value from Pilot, the Metropolitan is a favorite first fountain pen. This dark purple metal bodied pen has a leopard print accent band, silver trim, and a steel nib. It comes with a squeeze converter and a black Pilot ink cartridge, or you can upgrade to a CON-40 twist piston converter to use bottled ink if you prefer. It comes packaged in a gift box.
Click here to shop all compatible Pilot ink cartridges.
"
21,21,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-metropolitan-fountain-pen-retro-pop-red,PN91432,Pilot Metropolitan Fountain Pen - Retro Pop Red,True,$23.99,"Fine, Medium, 1.0mm Stub",New,Pilot,Fountain Pens,Red,No,Lacquered metal,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),13mm (0.5in),15.8mm (0.6in),8.4mm (0.3in),126mm (5in),57mm (2.2in),18mm (0.7in),138mm (5.4in),153mm (6in),17g (0.6oz),9g (0.3oz),26g (0.9oz),1.10ml,1.10ml,1.30ml,,,"
A fantastic value from Pilot, the Metropolitan is a favorite first fountain pen. Part of the Retro Pop collection, this red metal bodied pen has a patterned accent band, silver trim, and a steel nib. It comes with a squeeze converter and a black Pilot ink cartridge, or you can upgrade to a CON-40 twist piston converter to use bottled ink if you prefer. It comes packaged in a gift box.
Click here to shop all compatible Pilot ink cartridges.
"
